numero,date,code,annee,titre,mode,type,entité,sous-entité,montant,devise,taxes,titulaire
41,2010-01-13,F0044/10,2009,"Fourniture, raccordement et mise en service de douze (12) onduleurs dans les aéroports de Dakar, Tambacounda, Saint-Louis , Ziguinchor et Cap Skirring",Appel d'offres ouvert,Fournitures,Agence des aéroports du Sénégal (ADS),,51165390.00,F CFA,TTC,SEN TECHNOLOGY
42,2010-01-14,F0045/10,2009,Fourniture de produits phytosanitaires: fénitrothion 3% PP,Appel d'offres ouvert,Fournitures,Ministère de l'Agriculture , MA,100000000.00,F CFA,TTC,Société des Produits Industriels et Agricoles (SPIA)
43,2010-01-14,F0046/10,2009,Acquisition de mobiliers et matériels d'appartement destinés à l'inspection Générale d'Etat (Mr A.K.G),Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,10000000.00,F CFA,TTC,KOLEURE DISTRIBUTION PLUS
46,2010-01-15,C0049/10,2009,Avenant n°1 au contrat CC2/245/ATR relatif au contrôle et à la surveillance des travaux d'entretien périodique de 116 kms de routes revêtues dans les régions de Kaolack (lot n° 1) et Kolda (lot n° 2),Avenant,Prestations intellectuelles,Agence Autonome des Travaux Routiers , AATR,78401227.00,F CFA,TTC,Groupement POLYCONSULT/BNE TD
53,2010-01-19,C0056/10,2009,Sélection d'un consultant pour la restructuration industrielle et la réforme institutionnelle de SENELEC: travaux de dégroupage des activités de SENELEC,DP/LR,Prestations intellectuelles,Ministere de l'Energie , PRESELEC,512499204.00,F CFA,TTC,RTE International
54,2010-01-19,C0057/10,2009,Sélection de consultants pour la formation des agents de la direction des travaux publics (DTP) et de l'agence autonome des travaux routiers (AATR) Projet d'Entertien Routier (PER),DP/LR,Prestations intellectuelles,Agence Autonome des Travaux Routiers , AATR,239366226.00,F CFA,TTC,ENPC/PFE
51,2010-01-19,F0054/10,2009,Acquisition de groupes électrogènes et de splits destinés au projet ASTER de la DGCPT: lot n° 1: groupes électrogène,Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , DGCPT / ASTER,65836920.00,F CFA,TTC,Ets LAHLOU
52,2010-01-19,F0055/10,2009,Acquisition de groupes électrogènes et de splits destinés au projet ASTER de la DGCPT: lot n° 2: splits,Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , DGCPT / ASTER,10750095.00,F CFA,TTC,PYRAMID TRADING SA
55,2010-01-19,F0058/10,2009,Acquisition de fournitures d'ateliers (lots n° 2 &7): maçonnerie et plomberie,Appel d'offres ouvert,Fournitures,Hôpital Principal de Dakar, HPD,22855000.00,F CFA,TTC,Quincaillerie de l'Etoile
56,2010-01-19,F0059/10,2009,"Acquisition de fournitures d'ateliers (lots n° 3, 4, 5 & 6): peinture, menuiserie de bois, menuiserie de fer et froid-climatisation",Appel d'offres ouvert,Fournitures,Hôpital Principal de Dakar, HPD,28539250.00,F CFA,TTC,PYRAMID TRADING SA
57,2010-01-19,F0060/10,2009,Acquisition de fournitures d'ateliers (lot n° 1): électricité,Appel d'offres ouvert,Fournitures,Hôpital Principal de Dakar, HPD,30911150.00,F CFA,TTC,Quincaillerie Sopey Sérigne Fallou
58,2010-01-19,F0061/10,2010,Fourniture de produits phytosanitaires et de machines à moteur pulvérisateur,Appel d'offres restreint,Fournitures,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", PCLSLIB,1998900000.00,F CFA,TTC,Keur Marame Bercy
60,2010-01-19,F0063/10,2009,Fourniture de 03 véhicules berline (lot 2),Appel d'offres ouvert,Fournitures,Caisse de Dépôt et de Consignation, CDC,38400000.00,F CFA,TTC,SERA
61,2010-01-19,F0064/10,2009,Fourniture de 02 véhicules Pick - up 4X4 Double cabine,Appel d'offres ouvert,Fournitures,Ministère de l'Agriculture , PROMER II,30380000.00,F CFA,TTC,SERA
59,2010-01-19,S0062/10,2009,"Prestations d'insémination de 5950 vaches dans les régions de Kaolack, Kaffrine et Diourbel (lot n° 1)",Appel d'offres ouvert,Services courants,Ministère de l'Elevage, CAB,114654936.00,F CFA,TTC,GIE Vétérinaires Privés du Centre
64,2010-01-20,C0067/10,2009,Avenant n° 1 au contrat n° C/056/FM du 26/11/04 relatif à l'extension de délai de contrôle des travaux pour la réalisation d'un hôpital général de 300 lits à Dakar,Appel d'offres ouvert,Prestations intellectuelles,Hôpital Dalal Jamm,,318359691.00,F CFA,HT,Groupement Ellyps sa/Bexim sarl
63,2010-01-20,F0066/10,2009,Prestations d'insémination artificielle 5100 vaches dans la région de LOUGA,Appel d'offres ouvert,Fournitures,Ministère de l'Elevage, CAB,116418210.00,F CFA,TTC,AFRIVET
68,2010-01-21,C0071/10,2009,"Avenant administratif n°2 au marché n° CC2/241/ATR du 03/12/07 pour la mise en place de crédits relatif au contrôle et la surveillance des travaux de réhabilitation, d'élargissement et de construction de routes, d'aménagements paysagers et de trottoirs, d'éclairage public, d'alimentation en eau potable et d'assainissement de la ville de Touba (gestion 2007, 2008, 2009)",Avenant,Prestations intellectuelles,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,Groupement CIMA/AFRIC CONSULT/BESD
66,2010-01-21,T0069/10,2009,"Avenant administratif n°2 au marché TA3/439/ATR du 09/05/07 relatif la mise en place des crédits pour les travaux de réhabilitation, d'élargissement et de construction de routes, d'aménagements paysagers et de trottoirs à Touba dans la région de Diourbel (gestion 2007, 2008, 2009)",Avenant,Travaux,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,GCI Henan Chine/ Renolith CP.LTD
67,2010-01-21,T0070/10,2009,"Avenant administratif n°2 au contrat N°TA3/441/ATR du 09/05/2007 pour la mise en place des crédits relatif aux travaux d'alimentation en eau potable à Touba dans la région de Diourbel (gestion 2007, 2008, 2009)",Avenant,Travaux,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,Groupement GCI HENAN CHINE/SVTP-GC
69,2010-01-21,T0072/10,2009,"Avenant administratif n°1 au contrat TA3/443/ATR pour la mise en place de crédits relatif aux travaux de réhabilitation, de densification et d'extension de réseaux électriques à Touba région de Diourbel(gestion 2007, 2008, 2009)",Avenant,Travaux,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,COSELEC «A»
75,2010-01-28,F0078/10,2009,Acquisition de fournitures scolaires dans le cadre de la participation de la ville de Pikine aux dépenses de l'enseignement,Appel d'offres ouvert,Fournitures,Mairie de Pikine,,168196530.00,F CFA,TTC,Société Industrielle de Papeterie au Sénégal (SIPS)
77,2010-01-29,F0080/10,2009,Fourniture en un lot unique de trois bus de transport de personnel,Appel d'offres ouvert,Fournitures,Hôpital Principal de Dakar, HPD,108000000.00,F CFA,TTC,Espace Auto
76,2010-01-29,T0079/10,2009,"Construction du Centre de coordination des Secours maritimes devant abritant la Haute Autorité chargée des Secours Maritimes, de la Sûreté et de la Protection de l'Environnement Marin",Appel d'offres ouvert,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DGCBEP,481175191.00,F CFA,TTC,OMNIBAT
78,2010-02-02,C0088/10,2009,Avenant n°1 au marché n° 001/C/FND/06 relatif à l'assistance technique pour l'établissement et le fonctionnement initial de centres de visites techniques de véhicules de la région de Dakar,Avenant,Prestations intellectuelles,CETUD,,1775934.00,F CFA,TTC,TÜV Kraftfahrt GmbH
79,2010-02-02,F0081/10,2009,"Fourniture, transport et pose de matériels de réseaux MT/BT (lots n° 1 et 2)",Appel d'offres ouvert,Fournitures,Agence Sénégalaise d'électrification rurale (ASER),,316494480.00,F CFA,HT,Groupement ELOF & SNIE
80,2010-02-02,F0082/10,2009,"Fourniture, transport et pose de matériels de réseaux MT/BT (lots n° 3 et 4)",Appel d'offres ouvert,Fournitures,Agence Sénégalaise d'électrification rurale (ASER),,366268285.00,F CFA,HT,COSELEC «A»
81,2010-02-02,F0083/10,2009,"Fourniture, transport et pose de matériels de réseaux MT/BT (lots n° 5)",Appel d'offres ouvert,Fournitures,Agence Sénégalaise d'électrification rurale (ASER),,184071400.00,F CFA,HT,SCTDF
82,2010-02-02,F0084/10,2009,"Fourniture, transport et pose de matériels de réseaux MT/BT (lots n° 6)",Appel d'offres ouvert,Fournitures,Agence Sénégalaise d'électrification rurale (ASER),,174114284.00,F CFA,HT,Groupement EOD & ETF
83,2010-02-02,F0085/10,2009,"Fourniture, transport et pose de matériels de réseaux MT/BT (lots n° 7, 8, 9 et 10)",Appel d'offres ouvert,Fournitures,Agence Sénégalaise d'électrification rurale (ASER),,782321200.00,F CFA,HT,Groupement S.HY.B & SAGECO (G3S)
90,2010-02-03,C0093/10,2010,Avenant administratif n°1au marché n° C/0745/09 relatif au contrôle et à la surveillance des travaux d'élargissement et d'aménagement en 2x2 voies de la route de Ouakam,Avenant,Prestations intellectuelles,Agence Autonome des Travaux Routiers , ANOCI,0.00,F CFA,TTC,Groupement Simon Christiansen Afrique (SCA) / Alrabiah & Partner Co (APC)
91,2010-02-03,C0094/10,2010,Avenant administratif n°1 au marché n° C/0854/09 relatif au contrôle et à la surveillance des travaux d'aménagement et d'élargissement en 2X2 voies de la route de l'aéroport,Avenant,Prestations intellectuelles,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,Groupement APAVE SAHEL- CETE APAVE Sudeurope et ADEL AL-OBAID ENG'G.CONSULTIN G OFFICE
87,2010-02-03,F0090/10,2010,Fourniture de matelas éponge 0.90 m épaisseur 15 cm densité 14 kg/m3 haut de gamme,Appel d'offres ouvert,Fournitures,COUD,,83190000.00,F CFA,TTC,GIE KRAMEX
88,2010-02-03,F0091/10,2010,Fourniture de draps de lit 225 cmX150 cm 100% coton,Appel d'offres ouvert,Fournitures,COUD,,115050000.00,F CFA,TTC,Ets Darou Miname Express
92,2010-02-03,F0095/10,2009,Fourniture de véhicules de type berline à la Primature,Appel d'offres ouvert,Fournitures,Primature,Secrétariat Général du Gouvernement / SAGE,66390000.00,F CFA,TTC,SERA
86,2010-02-03,T0089/10,2010,Badigeonnage des façades et des couloirs du pavillon A (lots n° 1 et 2),Appel d'offres ouvert,Travaux,COUD,,73970070.00,F CFA,TTC,Entreprise Touba Darou Miname
89,2010-02-03,T0092/10,2009,Travaux d'entretien courant des routes en terre dans la région de Saint Louis,Appel d'offres ouvert,Travaux,Agence Autonome des Travaux Routiers , AATR,435267503.00,F CFA,TTC,SOTRACOM
94,2010-02-05,S0098/10,2009,Avenant n° 1 au marché n° S0475/08 relatif au gardiennage des locaux,Avenant,Services courants,Hôpital Général de Grand Yoff, HOGGY,48427200.00,F CFA,TTC,Agence de Sécurité Elite Protection (ASEP)
95,2010-02-05,S0099/10,2010,Gestion et exploitation du restaurant universitaire n°1 du CROUS,Appel d'offres ouvert,Services courants,CROUS,,900000000.00,F CFA,TTC,Ets Seydou SYLLA & Co
96,2010-02-05,T0100/10,2010,Avenant administratif n° 1 relatif aux travaux d'élargissement et d'aménagement de la route de Ouakam entre l'hôpital Abass NDAO et le Monument de la Renaissance Africaine,Avenant,Travaux,Agence Autonome des Travaux Routiers , ANOCI,0.00,F CFA,TTC,Groupement CSE/SINCO
97,2010-02-05,T0101/10,2010,Avenant n°1 administratif au marché n°T/0997/09 relatif aux travaux d'élargissement et d'aménagement de la route de l'aéroport - Mamelles- Aérogare de l'Aéroport LSS,Avenant,Travaux,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,Groupement Eiffage Sénégal / Mohammed Abdulmohsin AL-KHARAFI & SONS
98,2010-02-05,T0102/10,2009,Construction du siège de l'Office National de Formation Professionnelles (O.N.F.P),Appel d'offres ouvert,Travaux,ONFP , ONFP,255701184.00,F CFA,TTC,Entreprise ECAV
99,2010-02-08,C0109/10,2009,Recrutement d'un ingénieur Responsable de la Cellule Assainissement Industriel de l'ONAS,DRP,Prestations intellectuelles,ONAS,,24800000.00,F CFA,HT,"ALY TOUNKARA, Ingénieur Consultant"
100,2010-02-08,T0103/10,2009,"Avenant administratif n° 1 au marché n°T/0399/08 relatif à la construction de salles de classe, de bureaux, magasins, de latrines et des murs de clôtures dans les Départements de Linguère et de Diourbel",Avenant,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DGCBEP,0.00,F CFA,TTC,Equipements LAHAT
101,2010-02-08,T0104/10,2009,"Avenant administratif n° 1 au marché n°T/0402/08 relatif à la construction de salles de classe, de bureaux, magasins, de latrines et de murs de clôtures dans la Région de Kaolack (Kaolack Département et Kaolack Commune)",Avenant,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DGCBEP,0.00,F CFA,TTC,Société Centrale des Travaux (SOCETRA)
102,2010-02-08,T0105/10,2009,"Avenant administratif n°1 au marché n°T/0403/08 pour la construction de salles de classe, de bureaux, magasins, de latrine et des murs de clôtures dans les Départements de Kaffrine",Avenant,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DCSU,0.00,F CFA,TTC,Diallo Frères & Fils
103,2010-02-08,T0106/10,2009,"Avenant administratif n° 1 au marché n°T/0404/08 relatif à la construction de salles de classe, de bureaux, magasins, latrines et murs de clôtures dans les CEM des Régions de Dioubel, Kaolack, Louga et Matam",Avenant,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DGCBEP,0.00,F CFA,TTC,ESMB
104,2010-02-08,T0107/10,2010,"Avenant administratif n°1 au marché n°T/0406/08 relatif à la construction de salles de classe, de bureaux, magasins, de latrines et de murs de clôtures dans les Départements de Kébémer et Louga",Avenant,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DGCBEP,0.00,F CFA,TTC,KFE
105,2010-02-08,T0108/10,2009,"Avenant administratif n°1 au marché n°T/0405/08 relatif à la construction de salles de classe, de bureaux, magasins, latrines et murs de clôtures dans les Départements Kanel, Matam, Ranérou, Nioro",Avenant,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DGCBEP,0.00,F CFA,TTC,EBY
106,2010-02-09,F0110/10,2009,"Fourniture de mobiliers et matériels d'appartement destinés à Monsieur Sada Ndiaye, Ministre des Sénégalais de l'Extérieur",Entente directe,Fournitures,Ministère de l'Economie et des Finances , DMTA,10000000.00,F CFA,TTC,PAPEX
107,2010-02-10,S0111/10,2009,Fourniture et installation d'une solution d'interconnexion informatique et de sécurisation des accès réseau de la DGID,Appel d'offres avec préqualification,Services courants,Ministère de l'Economie et des Finances , DGID,398406493.00,F CFA,TTC,CBI Sénégal
108,2010-02-10,T0112/10,2009,Travaux de réhabilitation du Lycée Technique Cheikh Ahmadou Bamba de DIOURBEL,Appel d'offres ouvert,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement",,65372532.00,F CFA,TTC,Entreprise Touba Darou Miname
112,2010-02-11,T0116/10,2009,Aménagement de périmètres irrigués dans la région de Matam,Appel d'offres ouvert,Travaux,Ministère de l'Agriculture , PRODAM,1787620448.00,F CFA,TTC,Groupement Materflo-ESCI
113,2010-02-11,T0117/10,2009,Réalisation de pistes dans la région de Matam (lot n°1),Appel d'offres ouvert,Travaux,Ministère de l'Agriculture , PRODAM,530872176.00,F CFA,TTC,SOSETER
114,2010-02-11,T0118/10,2009,Avenant n°1 au marché n°T0865/08 relatif à l'actualisation du taux de partition financement des travaux de drainage des eaux pluviales de Pikine (lot 1: Pikine),Avenant,Travaux,ONAS,,0.00,F CFA,TTC,SINCO SpA
115,2010-02-11,T0119/10,2009,"Avenant N° 1 relatif à la modification de domiciliation bancaire pour la construction d'étables laitières dans les régions de Kolda, Tambacounda et Ziguinchor",Avenant,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement",,0.00,F CFA,TTC,Touba Générale Entreprise (TGE)
116,2010-02-12,F0171/10,2010,Acquisition d'équipements du centre de formation de l'ITA (lot 3: achat et installation du matériel téléphonique),Appel d'offres ouvert,Fournitures,ITA,,8332189.00,F CFA,TTC,SONATEL
118,2010-02-15,C0121/10,2010,Avenant administratif n°3 au marché n°C/005/FM du 10 avril 2007 relatif au contrôle et à la surveillance des travaux de construction et d'aménagement de la route Voie de Dégagement Nord (VDN) y compris la construction de trois échangeurs,Avenant,Prestations intellectuelles,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,CIRA Sarl
117,2010-02-15,T0120/10,2010,"Avenant administratife N° 3 au marché T/0141/FM pour les travaux d'extension, d'aménagement et d'embellissement de la voie de dégagement nord (VDN) - lot n°2 ouvrages d'art: échangeurs",Avenant,Travaux,Agence Autonome des Travaux Routiers , AATR,0.00,F CFA,TTC,Compagnie Sahélienne d'Entreprise (CSE)
120,2010-02-18,S0125/10,2009,Entretien et réparation du matériel roulant de la Primature: Fourniture de pièces de rechange pour les véhicules et scooters et la réparation de motos de marque BMW (lot n° 4),Appel d'offres ouvert,Services courants,Primature,Secrétariat Général du Gouvernement,6172855.00,F CFA,TTC,Keur Mame DIARRA
121,2010-02-18,S0126/10,2009,Entretien et réparation du matériel roulant de la Primature: Fourniture de pièces de rechange pour les véhicules et scooters et la réparation de motos de marque BMW (lot n° 2),Appel d'offres ouvert,Services courants,Primature,Secrétariat Général du Gouvernement,23961637.00,F CFA,TTC,Keur Mame DIARRA
122,2010-02-18,S0127/10,2009,Entretien et réparation du matériel roulant de la Primature: Fourniture de pièces de rechange pour les véhicules et scooters et la réparation de motos de marque BMW (lot n° 3),Appel d'offres ouvert,Services courants,Primature,Secrétariat Général du Gouvernement,4221850.00,F CFA,TTC,Keur Mame DIARRA
124,2010-02-19,T0129/10,2009,Construction de 29 édicules publics dans 14 Communautés Rurales de la région de Tambacounda (lots 4 et 5),Appel d'offres ouvert,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement", DA,141511068.00,F CFA,TTC,7 VISION
125,2010-02-22,F0130/10,2010,Avenant n°1 au marché n°F/0927/09 sans incidence financière relatif à la modification de l'article 9 suite à une erreur rédactionnelle portant sur le numéro de compte bancaire,Avenant,Fournitures,Ministère de l'Economie et des Finances , DGF,0.00,F CFA,TTC,CFAO Sénégal
128,2010-02-22,F0133/10,2010,Fourniture d'hypochlorite de calcium pour la potabilisation de l'eau lors du Magal de Touba de 2010,Appel d'offres ouvert,Fournitures,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement",,55460000.00,F CFA,TTC,International Company of Trade and Services (ICTS)
129,2010-02-22,F0134/10,2010,Fourniture de motopompes lors du Magal de Touba de 2010,Appel d'offres ouvert,Fournitures,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement",,18437500.00,F CFA,TTC,International Company of Trade and Services (ICTS)
126,2010-02-22,S0131/10,2010,Location de camions-citernes pour le ravitaillement en eau potable des pélerins lors du Magal de Touba de 2010,Appel d'offres ouvert,Services courants,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement",,93512640.00,F CFA,TTC,Khadim Entreprise Générale de Travaux Bâtiments (KEGTB)
127,2010-02-22,S0132/10,2010,Location de groupes électrogènes pour le fonctionnement des stations de pompage d'eau de la ville de Touba lors du Magal 2010,Appel d'offres ouvert,Services courants,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement",,29382000.00,F CFA,TTC,Ets SETTE DRAME
130,2010-02-23,S0135/10,2010,Avenant n°1au marché n°S0391/09 relatif au gardiennage des locaux et alentours du C.H.N.E.A.R,Avenant,Services courants,Hôpital des Enfants Albert Royer,,23364000.00,F CFA,TTC,Compagnie Sénégalaise de Sécurité et d'Assistance (CSSA)
131,2010-02-23,S0136/10,2010,Avenant n° 1au marché n°S0392/09 pour l'entretien et le nettoiement des locaux du C.H.N.E.A.R,Avenant,Services courants,Hôpital des Enfants Albert Royer,,23541000.00,F CFA,TTC,Ets Khady NDIAYE
132,2010-02-23,S0137/10,2010,Nettoiement en deux (02) lots distincts et indivisibles des villes religieuses avant et après les cérémonies,Appel d'offres ouvert,Services courants,"Ministère de l'Environnement, de la Protection de la Nature, des Bassins de Rétention et des Lacs artificiels ",,144359217.00,F CFA,TTC,SENTHRAS
136,2010-02-24,F0140/10,2009,Fournitures de bureau (lot n°1),Appel d'offres ouvert,Fournitures,Ministère de l'Economie et des Finances , ANSD,18381049.00,F CFA,TTC,Master Office
134,2010-02-24,T0138/10,2009,"Avenant n°1 au contrat n° TA3/370/ATR relatif aux travaux d'aménagement de la Boucle du Blouf, section Tendieme -Thionk Essyl (43 km) Région de Ziguinchor",Avenant,Travaux,Agence Autonome des Travaux Routiers , AATR,1178736299.00,F CFA,TTC,Groupement El Hadj Abdellah/Sinco SPA
135,2010-02-24,T0139/10,2009,"Travaux d'entretien, de réparation et/ou de de construction d'ouvrages d'art dans la région de Dakar",Appel d'offres ouvert,Travaux,Agence Autonome des Travaux Routiers , AATR,149323454.00,F CFA,TTC,Société d'ingénierie et de Réalisation (SIR) sarl
137,2010-02-24,T0141/10,2009,Réalisation d'ouvrages de retenue dans la région de Matam,Appel d'offres ouvert,Travaux,Ministère de l'Agriculture , PRODAM,75214320.00,F CFA,TTC,GENITE Sarl
133,2010-02-24,T0142/10,2009,Réhabilitation de périmètres irrigués villageois,Appel d'offres ouvert,Travaux,Ministère de l'Agriculture , PRODAM,730598599.00,F CFA,TTC,ESCI
138,2010-02-24,T0143/10,2009,Réalisation de deux piézomètres,Appel d'offres ouvert,Travaux,"Ministère de l'Urbanisme, de l'Habitat, de l'Hydraulique et de l'Assainissement",,38600000.00,F CFA,TTC,HENAN CHINE Sénégal sa
139,2010-02-25,F0144/10,2009,Acquisition de matériels de lutte préventive phytosanitaire,Appel d'offres ouvert,Fournitures,Ministère de l'Agriculture , AELP,47096272.00,F CFA,TTC,GIE NIAYES HANDAL
